dicitura,occorrenze,markup_interno,schede_ILA
"J.A.R. Munro, JHS, XVII, 1897, p. 283, no. 48",1,,ILA-057
"Buresch, Aus Lydien, p. 152",1,,ILA-057
"Lane, I, p. 25, no. 21",1,,ILA-057
"Lane, CMRDM I 90",1,,ILA-058
"Drexler, op. cit., col. 2701, no. 7",1,,ILA-058
"Ramsay, JHS, X, 1889, p. 227, no. 25",1,,ILA-058
"E.L. Hicks, Classical Review, III, 1889, p. 138, no. 19",1,,ILA-058
"Buresch, Reisebericht II, p. 97",1,,ILA-058
"Perdrizet, op. cit., p. 57, no. 3",1,,ILA-058
"Buresch, Aus Lydien, p. 87 and 197",1,,ILA-058
"T. Wiegand, AM, XXIX, 1904, p. 318, fig. 38",1,,ILA-058
"A. Deissmann, Light from the Ancient East, 1910, p. 332",1,,ILA-058
"Buckler, ABSA, XXI, 1914-16, pp. 181-3, no. 6",1,,ILA-058
"Lane, I, p. 23, no. 3",1,,ILA-058
"Lane, CMRDM I 91",1,,ILA-059
"G. Radet, Nouvelles Archives des Missions Scientifiques et Littéraires, VI, 1895, p. 573, no. 23",1,,ILA-059
"Perdrizet, op. cit., p. 64",1,,ILA-059
"Ramsay, Bearing of Recent Discovery, London, 1915, p. 184, fig. 4",1,,ILA-059
"Lane, I, p. 23, no. 4",1,,ILA-059
"Lane, CMRDM I 92",1,,ILA-060
"Ramsay, ZVS, XXVIII, 1887, p. 394, no. 16",1,,ILA-060
"Ramsay, Bearing, p. 187, no. 3",1,,ILA-060
"MAMA V, (1937) p. 150, no. R7",1,,ILA-060
"Lane, CMRDM I 93",1,,ILA-061
"MAMA, V, p. 71, no. 150 and Plate 40",1,,ILA-061
"Lane, CMRDM I 94",1,,ILA-062
"MAMA, V, p. 65, no. 132 and Plate 37",1,,ILA-062
"Lane, I, p. 23, no. 7",1,,ILA-062
"Lane, CMRDM I 95",1,,ILA-063
"MAMA, V, p. 65, no. 133 and Plate 38",1,,ILA-063
"Lane, I, p. 23, no. 8",1,,ILA-063
"Lane, CMRDM I 96",1,,ILA-064
"MAMA, V, p. 100, no. 209 and Plate 48",1,,ILA-064
"Lane, I, p. 23, no. 9",1,,ILA-064
"Lane, CMRDM I 97",1,,ILA-065
"MAMA, V, p. 101, no. 210 and Plate 48",1,,ILA-065
"Lane, I, p. 24, no. 10a",1,,ILA-065
"Lane, CMRDM I 98",1,,ILA-066
"MAMA, V, p. 100, no. 208 and Plate 48",1,,ILA-066
"Lane, I, p. 23, no. 10",1,,ILA-066
"Lane, CMRDM I 99",1,,ILA-067
"*S. Reinach, Catalogue du Musée de Constantinople, no. 244",1,,ILA-067
"Daremberg-Saglio, III, ii, p. 1395, fig. 4670",1,,ILA-067
"Drexler, op. cit., col. 2768",1,,ILA-067
"Mendel, Catalogue des Sculptures Grecques, Romaines et Byzantines, Constantinople 1912-14, III, 314-317, no. 1077",1,,ILA-067
"Perdrizet, op. cit., p. 64ff. and Plate XVI",1,,ILA-067
"Rostovzeff, SEHRE², Oxford 1957, p. 256 and Plate XLVI, no. 2",1,,ILA-067
"Lane, I, p. 24, no. 11",1,,ILA-067
"Lane, CMRDM I 100",1,,ILA-068
"MAMA VI, (1939) p. 92, no. 248 and Pl. 44",1,,ILA-068
"Flacelière and Robert, REG, LII, 1939, p. 511, no. 407",1,,ILA-068
"Lane, CMRDM I 101",1,,ILA-069
"Letronne, Journal des Savants, 1825, p. 330ff.",1,,ILA-069
CIG 3886,1,,ILA-069
"Drexler, op. cit., col. 2712",1,,ILA-069
"Ramsay, C and B, I (1895), p. 246",1,,ILA-069
"Perdrizet, BCH, XX, 1896, p. 62",1,,ILA-069
"R. Cagnat et al., IGRR, IV, no. 739",1,,ILA-069
"Lane, I, p. 24, no. 12",1,,ILA-069
"L. Vidman, op. cit., p. 159, no. 311",1,,ILA-069
"Lane, CMRDM I 102",1,,ILA-070
"*W.H. Cope, Journal of the British Archaeological Association, XL, 1884, pp. 114-5",1,,ILA-070
"Drexler, op. cit., col. 2714",1,,ILA-070
"Robert, Revue de Philologie, LXV, 1939, p. 179, note 3 and Plate II, no. 1",1,,ILA-070
"Vermaseren, Vigiliae Christianae, IV, 1950, p. 151, fig. 2",1,,ILA-070
"Lane, I, p. 24, no. 13 and Plate III, no. 1",1,,ILA-070
"R.A. Higgins, Archaeological Reports, XIII, 1966-7, pp. 47-48 and fig. 5",1,,ILA-070
"Lane, CMRDM I 103",1,,ILA-071
"Collignon, BCH, II, 1878, p. 171-2",1,,ILA-071
"J.R.S. Sterrett, Epigraphical Journey, p. 94, no. 61",1,,ILA-071
"Drexler, op. cit., col. 2716",1,,ILA-071
"Ramsay, C and B, I, p. 304",1,,ILA-071
"Lane, I, p. 24, no. 14",1,,ILA-071
"Lane, CMRDM I 104",1,,ILA-072
"B. Pace, Annuario, VI-VII, 1923-4, pp. 448-9, no. 167",1,,ILA-072
"SEG, VI, 1932, p. 103, no. 607; XVII, 1960, p. 149, no. 549",1,,ILA-072
"H. Metzger, Catalogue des monuments votifs du Musée d'Adalia, Paris, 1952, p. 48, no. 22 and Plate XI",1,,ILA-072
"Bean, Belleten, XXII, 1958, p. 69, no. 85",1,,ILA-072
"Lane, I, p. 43-4, no. 4",1,,ILA-072
"Lane, CMRDM I 105",1,,ILA-073
"W.M. Calder, Klio, X, 1910, p. 241, no. 14",1,,ILA-073
"MAMA, I, (1928) p. 231, no. 436",1,,ILA-073
"Lane, I, p. 24, no. 15",1,,ILA-073
"Lane, CMRDM I 106",1,,ILA-074
"MAMA, VII, (1956) p. 1, no. 4 and p. 125",1,,ILA-074
"Lane, I, p. 25, no. 16",1,,ILA-074
"Lane, CMRDM I 107",1,,ILA-075
"J.G.C. Anderson, JHS, XIX, 1899, p. 299, no. 220",1,,ILA-075
"MAMA, VII, p. 52, no. 243 and Plate XV",1,,ILA-075
"Lane, I, p. 25, no. 17",1,,ILA-075
"Lane, CMRDM I 108",1,,ILA-076
"Anderson, op. cit., p. 299, no. 221",1,,ILA-076
"MAMA, VII, p. 52, no. 244 and Pl. 15",1,,ILA-076
"Lane, I, p. 25, no. 18",1,,ILA-076
"Lane, CMRDM I 109",1,,ILA-077
"MAMA, VII, p. 52, no. 245 and p. 133",1,,ILA-077
"Lane, I, p. 25, no. 19",1,,ILA-077
"Lane, CMRDM I 110",1,,ILA-078
"W.M. Calder, Klio, XXIV, 1930, p. 62",1,,ILA-078
"SEG, VI, (1932), p. 15, no. 78",1,,ILA-078
"MAMA, VII, p. 76, no. 311 and p. 137",1,,ILA-078
