scheda,lane_ref,famiglia,lemma,sotto_funzione,forma_attestata,cert,verifica
ILA-036,"Lane, CMRDM I 65",atto-cultuale,ἀνατίθημι,dedica,ἀνέθηκα,,auto
ILA-052,"Lane, CMRDM I 84",atto-cultuale,ἀνατίθημι,dedica,ἀνέθηκεν,,auto
ILA-053,"Lane, CMRDM I 85",atto-cultuale,ἀνατίθημι,dedica,ἀνέθηκεν,,auto
ILA-055,"Lane, CMRDM I 87",atto-cultuale,ἀνατίθημι,dedica,ἀνέθηκαν,,auto
ILA-057,"Lane, CMRDM I 89",atto-cultuale,ἀνατίθημι,dedica,ἀνέθηκε,,auto
ILA-096,"Lane, CMRDM I 7",atto-cultuale,ἀνατίθημι,dedica,ἀνέθηκα,,auto
ILA-099,"Lane, CMRDM I 10",atto-cultuale,ἀνατίθημι,dedica,ἀνέθηκαν,low,auto
ILA-103,"Lane, CMRDM I 80",atto-cultuale,ἀνατίθημι,dedica,ἀνέθηκεν,,auto
ILA-115,"Lane, CMRDM I 126",atto-cultuale,ἀνατίθημι,dedica,ἀνέθηκε,,auto
ILA-118,"Lane, CMRDM I 129",atto-cultuale,ἀνατίθημι,dedica,ἀνεθῆκε,,auto
ILA-284,"Lane, CMRDM I 15",atto-cultuale,ἀνατίθημι,dedica,ἀνέθηκεν,,auto
ILA-119,"Lane, CMRDM I 130",atto-cultuale,ἄσυλος,norma-santuariale,ἄσυλος,,auto
ILA-101,"Lane, CMRDM I 44",atto-cultuale,ἐξειλάσκομαι,propiziazione,ἐξειλάσαμενοι,,auto
ILA-108,"Lane, CMRDM I 13",atto-cultuale,ἐξειλάσκομαι,propiziazione,ἐξειλάσασθαι,,auto
ILA-102,"Lane, CMRDM I 69",atto-cultuale,ἐξομολογέομαι,confessione-verbale,εξωμολογήσατο,,auto
ILA-015,"Lane, CMRDM I 43",atto-cultuale,ὁμολογέω,confessione-verbale,ὡμολόγησαν,,auto
ILA-047,"Lane, CMRDM I 77",atto-cultuale,ὁμολογέω,confessione-verbale,ὁμολογῶ,,auto
ILA-014,"Lane, CMRDM I 42",colpa,ἁμαρτάνω,peccato-generico,ἁμαρτίαν,,auto
ILA-040,"Lane, CMRDM I 70",colpa,ἁμαρτάνω,peccato-generico,προσαμαρτάνῃ,,auto
ILA-041,"Lane, CMRDM I 71",colpa,ἁμαρτάνω,peccato-generico,προσαμάρτῃ,,auto
ILA-107,"Lane, CMRDM I 12",colpa,ἁμαρτάνω,peccato-generico,ἁμαρτίαν,,auto
ILA-108,"Lane, CMRDM I 13",colpa,ἁμαρτάνω,peccato-generico,ἁμαρτίαν,,auto
ILA-230,"Lane, CMRDM I 242",colpa,ἁμαρτάνω,peccato-generico,ἀμαρτάγων,,auto
ILA-038,"Lane, CMRDM I 67",colpa,ἐπιορκέω,spergiuro,ἐπιορκήσας,low,auto
ILA-040,"Lane, CMRDM I 70",formula-fissa,κεχολωμένος,imprecazione,κεχολωμένου,,auto
ILA-050,"Lane, CMRDM I 81",formula-fissa,κεχολωμένος,imprecazione,κεχολωμένων,low,auto
ILA-133,"Lane, CMRDM I 145",formula-fissa,κεχολωμένος,imprecazione,κεχολωμένον,low,auto
ILA-134,"Lane, CMRDM I 146",formula-fissa,κεχολωμένος,imprecazione,κεχολωμένον,,auto
ILA-135,"Lane, CMRDM I 147",formula-fissa,κεχολωμένος,imprecazione,κεχολωμένο,,auto
